광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	성동구	응봉동	소계	12496	9924	2572	17	9907	4167	2150	2184	789	567	24	1	4	7	3	1	4	6
서울특별시	성동구	성수1가제1동	소계	12772	9598	3174	35	9563	4039	2036	2091	741	606	15	1	6	6	12	3	2	5
서울특별시	성동구	성수1가제2동	소계	12720	9913	2807	32	9881	4339	2092	2078	688	646	8	2	4	1	8	0	3	12
서울특별시	성동구	성수2가제1동	소계	15089	10960	4129	45	10915	4381	2487	2614	723	666	19	0	6	3	8	2	2	4
서울특별시	성동구	성수2가제3동	소계	9235	7052	2183	22	7030	2867	1663	1535	527	422	5	0	3	0	3	2	2	1
서울특별시	성동구	왕십리도선동	소계	19711	15256	4455	42	15214	6550	2936	3507	1232	942	15	1	4	2	4	7	8	6
서울특별시	성동구	왕십리제2동	소계	12663	9689	2974	32	9657	4308	1769	2230	650	662	15	1	6	0	3	1	6	6
서울특별시	성동구	행당제1동	소계	11485	8863	2622	29	8834	3676	1877	2028	662	547	19	0	7	1	4	3	1	9
서울특별시	성동구	행당제2동	소계	18235	14591	3644	33	14558	6443	2776	3239	1185	860	31	1	1	4	10	3	1	4
서울특별시	성동구	마장동	소계	18134	13934	4200	43	13891	5848	2904	3244	982	859	21	1	8	4	9	2	2	7
서울특별시	성동구	사근동	소계	8412	6461	1951	25	6436	2713	1055	1448	678	509	3	0	8	3	8	1	4	6
서울특별시	성동구	송정동	소계	8949	6376	2573	28	6348	2720	1351	1499	384	370	10	0	6	1	1	0	1	5
서울특별시	성동구	용답동	소계	12683	8922	3761	35	8887	3753	1837	2212	516	538	9	0	7	1	10	0	0	4
서울특별시	광진구	거소·선상투표	거소·선상투표	384	370	14	6	364	145	53	123	28	9	1	1	0	1	0	2	1	0
서울특별시	광진구	관외사전투표	관외사전투표	27805	27803	2	141	27662	13607	3918	5565	2084	2362	44	6	9	6	17	7	8	29
서울특별시	광진구	재외투표	재외투표	3250	2494	756	6	2488	1472	208	398	107	288	9	0	1	0	4	0	1	0
서울특별시	광진구	중곡제1동	소계	12296	8978	3318	41	8937	3830	1871	2019	596	599	3	0	6	1	6	1	3	2
서울특별시	광진구	중곡제2동	소계	17625	13301	4324	41	13260	5878	2630	2977	816	924	12	1	4	1	3	2	6	6
서울특별시	광진구	중곡제3동	소계	13889	10163	3726	27	10136	4220	2171	2366	641	685	22	2	10	5	3	4	2	5
서울특별시	광진구	중곡제4동	소계	24412	18468	5944	59	18409	7729	3978	4218	1161	1238	29	1	12	6	15	5	3	14
서울특별시	광진구	능동	소계	9103	7136	1967	14	7122	3333	1290	1452	517	512	11	0	0	0	2	0	1	4
서울특별시	광진구	구의제1동	소계	18054	13665	4389	38	13627	6231	2443	3034	939	930	21	1	7	4	8	3	3	3
서울특별시	광진구	구의제2동	소계	19268	14536	4732	41	14495	6335	3100	3210	884	900	24	0	9	6	10	6	6	5
서울특별시	광진구	구의제3동	소계	22778	18696	4082	53	18643	7823	3959	4132	1555	1131	16	0	6	1	5	2	8	5
서울특별시	광진구	광장동	소계	23754	19569	4185	48	19521	8126	4075	4295	1809	1160	24	1	9	2	5	1	6	8
서울특별시	광진구	자양제1동	소계	18261	13495	4766	48	13447	6046	2514	3073	836	927	16	2	9	0	12	2	2	8
서울특별시	광진구	자양제2동	소계	19930	15085	4845	34	15051	6439	3057	3523	1005	971	19	2	10	4	8	5	3	5
서울특별시	광진구	자양제3동	소계	22572	18546	4026	60	18486	7545	4068	4281	1469	1082	18	0	6	2	6	2	4	3
서울특별시	광진구	자양제4동	소계	18112	12882	5230	53	12829	5431	2782	3112	771	685	16	0	5	4	10	1	4	8
서울특별시	광진구	화양동	소계	17782	12845	4937	50	12795	6055	1943	2386	1143	1225	9	4	6	2	5	2	2	13
서울특별시	광진구	군자동	소계	15897	11998	3899	39	11959	5267	2308	2660	753	912	18	3	11	3	8	3	2	11
서울특별시	동대문구	거소·선상투표	거소·선상투표	399	376	23	10	366	117	76	135	23	13	0	1	0	0	0	1	0	0
서울특별시	동대문구	관외사전투표	관외사전투표	27360	27359	1	118	27241	13276	3791	5501	2108	2425	39	5	15	7	26	8	6	34
서울특별시	동대문구	재외투표	재외투표	2946	2186	760	10	2176	1292	207	334	90	239	14	0	0	0	0	0	0	0
서울특별시	동대문구	용신동	소계	25309	18014	7295	56	17958	7358	4203	4162	1095	1054	36	7	7	4	10	5	13	4
서울특별시	동대문구	제기동	소계	20595	14982	5613	53	14929	5790	3743	3509	952	852	22	1	15	4	7	4	11	19
서울특별시	동대문구	전농제1동	소계	22921	16596	6325	74	16522	6707	3826	3982	1006	918	30	4	15	4	12	4	4	10
서울특별시	동대문구	전농제2동	소계	16019	12807	3212	32	12775	5157	3033	2978	804	750	15	2	9	4	8	5	3	7
서울특별시	동대문구	답십리제1동	소계	18732	14341	4391	40	14301	6189	2896	3346	954	864	17	3	2	1	12	3	6	8
서울특별시	동대문구	답십리제2동	소계	22565	17330	5235	61	17269	7023	3999	4174	995	1002	26	1	14	3	7	5	5	15
서울특별시	동대문구	장안제1동	소계	30075	22610	7465	66	22544	9464	5211	5270	1288	1242	26	0	8	1	12	4	7	11
서울특별시	동대문구	장안제2동	소계	24266	18671	5595	56	18615	7655	4366	4359	1124	1037	30	3	10	5	4	2	8	12
