광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	경제공화당	대통합민주신당	무소속	민주노동당	민주당	새시대참사람연합	참주인연합	창조한국당	한국사회당	한나라당
서울특별시	1100	금천구	196513	118869	118454	415	77644	545	34966	15140	3289	767	28	64	7597	90	55968
서울특별시	1100	영등포구	325884	206002	205371	631	119882	873	51008	26129	4716	962	44	124	14819	138	106558
서울특별시	1100	동작구	326851	209902	209350	552	116949	980	53613	25411	4988	1010	49	144	16943	145	106067
서울특별시	1100	관악구	439707	268101	267400	701	171606	1321	77804	32942	8362	1695	56	167	23536	247	121270
서울특별시	1100	서초구	320018	212282	211836	446	107736	700	34112	23535	2969	582	15	133	13223	124	136443
서울특별시	1100	강남구	442286	283231	282618	613	159055	989	41493	31023	3806	722	23	177	16465	142	187778
서울특별시	1100	송파구	483567	313620	312799	821	169947	1344	66697	36436	5499	1100	53	162	20642	162	180704
서울특별시	1100	강동구	362024	231077	230456	621	130947	1104	51510	27692	4630	926	43	148	15308	114	128981
부산광역시	2600	중구	42111	25584	25464	120	16527	89	3226	4658	516	65	6	9	1208	15	15672
부산광역시	2600	서구	109489	65288	65010	278	44201	251	8314	11967	1566	169	19	31	3025	48	39620
부산광역시	2600	동구	87511	54017	53798	219	33494	242	6780	11067	1384	150	11	21	2402	33	31708
부산광역시	2600	영도구	127967	75664	75326	338	52303	284	13008	13807	2481	221	23	40	3613	38	41811
부산광역시	2600	부산진구	324855	200613	199973	640	124242	834	26287	40587	5511	558	40	81	10608	133	115334
부산광역시	2600	동래구	225283	144883	144475	408	80400	630	16957	28480	3669	313	23	53	7919	123	86308
부산광역시	2600	남구	237462	148749	148321	428	88713	576	19494	28994	4181	367	34	50	7962	89	86574
부산광역시	2600	북구	247521	154739	154195	544	92782	709	22441	32511	4895	433	36	81	8836	116	84137
부산광역시	2600	해운대구	322575	202750	202202	548	119825	747	26921	38551	5531	441	44	106	11234	125	118502
부산광역시	2600	기장군	62272	38759	38575	184	23513	165	4951	7513	1311	99	12	25	1684	16	22799
부산광역시	2600	사하구	283276	171149	170518	631	112127	699	24215	31723	4806	446	43	63	9619	122	98782
부산광역시	2600	금정구	206527	131508	131092	416	75019	585	15925	25631	3704	329	35	63	7393	91	77336
부산광역시	2600	강서구	43825	25623	25435	188	18202	95	3700	5237	722	99	5	20	994	14	14549
부산광역시	2600	연제구	169739	108433	108080	353	61306	504	13445	21688	2905	244	21	37	6072	84	63080
부산광역시	2600	수영구	144300	91170	90948	222	53130	395	10807	17574	2069	206	18	32	4961	54	54832
부산광역시	2600	사상구	208350	126302	125840	462	82048	546	20237	26331	3650	459	36	58	6755	97	67671
대구광역시	2700	중구	66234	43459	43302	157	22775	104	2502	7469	706	57	4	22	1525	31	30882
대구광역시	2700	동구	265762	176279	175576	703	89483	486	11357	32448	3560	299	38	70	7046	102	120170
대구광역시	2700	서구	190185	120295	119804	491	69890	302	6600	22579	2087	188	26	31	3907	86	83998
대구광역시	2700	남구	146210	92611	92260	351	53599	281	5457	17395	1661	138	14	24	3455	71	63764
대구광역시	2700	북구	341870	229360	228635	725	112510	629	14386	41470	4868	330	31	46	9990	113	156772
대구광역시	2700	수성구	330137	230474	229920	554	99663	562	12665	38408	3851	241	35	62	9423	116	164557
대구광역시	2700	달서구	437650	296170	295341	829	141480	796	17634	54434	6227	413	48	83	12318	162	203226
대구광역시	2700	달성군	118818	79321	78840	481	39497	215	5331	13996	2817	181	25	29	2850	46	53350
인천광역시	2800	중구	71324	41139	40930	209	30185	194	8755	6347	1381	256	10	33	2726	29	21199
인천광역시	2800	동구	59570	37098	36885	213	22472	179	8265	6343	1597	269	16	28	2497	36	17655
