광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	성북구	369617	183341	180779	2562	186276	희망사회당	496
서울특별시	1100	강북구	280448	133966	132151	1815	146482	희망사회당	391
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	희망사회당	322
서울특별시	1100	노원구	465546	239942	236926	3016	225604	희망사회당	542
서울특별시	1100	은평구	367295	173524	171065	2459	193771	희망사회당	483
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	희망사회당	303
서울특별시	1100	마포구	312630	154433	152070	2363	158197	희망사회당	385
서울특별시	1100	양천구	374034	193203	190494	2709	180831	희망사회당	495
서울특별시	1100	강서구	430027	211558	208632	2926	218469	희망사회당	589
서울특별시	1100	구로구	327895	164412	161567	2845	163483	희망사회당	346
서울특별시	1100	금천구	199986	97773	96108	1665	102213	희망사회당	263
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	희망사회당	449
서울특별시	1100	동작구	328129	166421	164200	2221	161708	희망사회당	361
서울특별시	1100	관악구	431791	210835	208183	2652	220956	희망사회당	533
서울특별시	1100	서초구	316852	164432	162438	1994	152420	희망사회당	280
서울특별시	1100	강남구	433889	216748	214780	1968	217141	희망사회당	411
서울특별시	1100	송파구	467011	237296	234803	2493	229715	희망사회당	471
서울특별시	1100	강동구	356774	175768	173429	2339	181006	희망사회당	397
부산광역시	2600	중구	43062	22766	22193	573	20296	열린우리당	4134
부산광역시	2600	서구	112683	55036	53733	1303	57647	열린우리당	9230
부산광역시	2600	동구	89864	46769	45240	1529	43095	열린우리당	8410
부산광역시	2600	영도구	131447	63269	62019	1250	68178	열린우리당	14710
부산광역시	2600	부산진구	325963	157491	155105	2386	168472	열린우리당	28452
부산광역시	2600	동래구	216997	107494	105996	1498	109503	열린우리당	17864
부산광역시	2600	남구	238368	116835	115088	1747	121533	열린우리당	22646
부산광역시	2600	북구	248396	117436	115873	1563	130960	열린우리당	25113
부산광역시	2600	해운대구	309668	145645	143503	2142	164023	열린우리당	27934
부산광역시	2600	기장군	61953	36131	35241	890	25822	열린우리당	6938
부산광역시	2600	사하구	284656	128358	126541	1817	156298	열린우리당	27000
부산광역시	2600	금정구	209276	103939	102094	1845	105337	열린우리당	18388
부산광역시	2600	강서구	44796	26884	26106	778	17912	열린우리당	6643
부산광역시	2600	연제구	172349	84789	83506	1283	87560	열린우리당	15482
부산광역시	2600	수영구	143359	67639	66635	1004	75720	열린우리당	11705
부산광역시	2600	사상구	212267	98086	96737	1349	114181	열린우리당	22086
부산광역시	2600	중구	43062	22766	22193	573	20296	한나라당	15126
부산광역시	2600	서구	112683	55036	53733	1303	57647	한나라당	37049
부산광역시	2600	동구	89864	46769	45240	1529	43095	한나라당	30626
부산광역시	2600	영도구	131447	63269	62019	1250	68178	한나라당	37451
부산광역시	2600	부산진구	325963	157491	155105	2386	168472	한나라당	103380
부산광역시	2600	동래구	216997	107494	105996	1498	109503	한나라당	73280
부산광역시	2600	남구	238368	116835	115088	1747	121533	한나라당	74811
부산광역시	2600	북구	248396	117436	115873	1563	130960	한나라당	72988
부산광역시	2600	해운대구	309668	145645	143503	2142	164023	한나라당	94383
부산광역시	2600	기장군	61953	36131	35241	890	25822	한나라당	22978
부산광역시	2600	사하구	284656	128358	126541	1817	156298	한나라당	80802
부산광역시	2600	금정구	209276	103939	102094	1845	105337	한나라당	69366
부산광역시	2600	강서구	44796	26884	26106	778	17912	한나라당	15683
부산광역시	2600	연제구	172349	84789	83506	1283	87560	한나라당	56249
부산광역시	2600	수영구	143359	67639	66635	1004	75720	한나라당	45927
부산광역시	2600	사상구	212267	98086	96737	1349	114181	한나라당	61020
부산광역시	2600	중구	43062	22766	22193	573	20296	민주당	536
부산광역시	2600	서구	112683	55036	53733	1303	57647	민주당	1558
부산광역시	2600	동구	89864	46769	45240	1529	43095	민주당	1038
부산광역시	2600	영도구	131447	63269	62019	1250	68178	민주당	1924
부산광역시	2600	부산진구	325963	157491	155105	2386	168472	민주당	2931
부산광역시	2600	동래구	216997	107494	105996	1498	109503	민주당	1824
부산광역시	2600	남구	238368	116835	115088	1747	121533	민주당	1983
부산광역시	2600	북구	248396	117436	115873	1563	130960	민주당	2189
부산광역시	2600	해운대구	309668	145645	143503	2142	164023	민주당	2706
부산광역시	2600	기장군	61953	36131	35241	890	25822	민주당	750
