광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
경상북도	4700	영주시	91222	53585	52054	1531	37637	1338	820	108	2368	95	55	1785	96	989	1247	12551	2923	691	215	26773
경상북도	4700	영천시	85779	41043	39954	1089	44736	92	886	88	1604	69	45	1680	63	473	846	8614	2268	705	151	22370
경상북도	4700	상주시	87108	55204	53265	1939	31904	2841	928	166	2152	102	97	1585	102	624	823	13816	2409	698	384	26538
경상북도	4700	문경시	61235	36727	35506	1221	24508	1434	626	74	988	86	54	952	46	419	587	10073	1664	811	105	17587
경상북도	4700	예천군	41551	29495	28031	1464	12056	1750	477	114	1054	90	55	723	59	303	525	6783	1380	598	144	13976
경상북도	4700	경산시	181869	75795	74422	1373	106074	169	2210	114	2494	71	51	2680	66	2536	2041	21826	4600	601	117	34846
경상북도	4700	청도군	38821	20942	20303	639	17879	88	431	56	568	41	31	670	35	376	399	5043	1238	297	117	10913
경상북도	4700	고령군	28956	17485	16830	655	11471	720	277	43	624	37	31	497	33	219	341	3807	789	314	131	8967
경상북도	4700	성주군	38088	23032	22266	766	15056	799	264	58	802	33	34	553	29	181	397	4984	1011	462	166	12493
경상북도	4700	칠곡군	86456	40888	39785	1103	45568	1084	634	76	1388	64	34	1136	88	588	1099	10957	2020	358	130	20129
경상북도	4700	군위군	22444	14951	14339	612	7493	862	409	59	365	24	28	374	19	124	221	3660	558	135	125	7376
경상북도	4700	의성군	53029	35197	33633	1564	17832	1483	915	113	1494	82	74	930	48	343	554	7166	1568	408	241	18214
경상북도	4700	청송군	23626	14841	14296	545	8785	758	467	61	653	35	24	525	27	211	305	2778	869	284	125	7174
경상북도	4700	영양군	16229	10521	10139	382	5708	35	238	240	447	35	16	293	29	149	189	1770	695	207	65	5731
경상북도	4700	영덕군	36667	23405	22708	697	13262	57	366	277	523	32	27	361	29	220	286	2844	1115	421	112	16038
경상북도	4700	봉화군	29753	18980	18253	727	10773	117	325	541	777	77	50	594	50	274	395	4175	1198	371	181	9128
경상북도	4700	울진군	43140	26600	25393	1207	16540	79	494	966	843	87	41	576	88	428	646	3981	1904	276	248	14736
경상남도	4800	창원시	364638	170081	168574	1507	194557	213	3108	242	29242	151	168	6963	135	6785	6704	30592	16490	2474	183	65124
경상남도	4800	마산시	322718	143885	142106	1779	178833	353	1988	204	10051	149	522	6468	124	5223	4760	29968	13603	1659	219	66815
경상남도	4800	진주시	251125	131017	128853	2164	120108	607	2539	1139	14631	226	162	5437	135	2728	4248	24863	9310	1279	373	61176
경상남도	4800	진해시	122687	54387	53414	973	68300	327	919	135	4124	98	79	2753	60	1282	2375	10201	5643	755	106	24557
경상남도	4800	통영시	104960	53818	52695	1123	51142	1085	918	88	3027	72	72	1906	60	1101	1487	7074	3796	699	196	31114
경상남도	4800	고성군	46001	24326	23580	746	21675	673	408	63	2066	51	45	911	55	388	546	3831	1686	597	145	12115
경상남도	4800	사천시	87843	50641	49450	1191	37202	73	683	79	11589	84	63	1889	124	731	1214	6111	3095	934	162	22619
경상남도	4800	김해시	332723	143267	141637	1630	189456	148	3148	200	11554	121	121	6221	140	3445	7122	22147	30290	1123	195	55662
경상남도	4800	밀양시	89892	47653	46593	1060	42239	191	1242	145	2782	102	82	2279	86	795	1337	10368	4687	968	239	21290
경상남도	4800	거제시	153055	67242	65945	1297	85813	153	2721	144	7568	109	83	2036	88	6668	1774	8743	6303	800	230	28525
경상남도	4800	의령군	26030	14340	13893	447	11690	80	419	71	1618	52	35	653	53	217	316	2372	1142	266	146	6453
경상남도	4800	함안군	51687	24426	23862	564	27261	96	644	61	3271	55	50	954	28	445	699	4436	1798	371	104	10850
경상남도	4800	창녕군	51421	23973	23355	618	27448	131	594	93	1754	61	57	1104	47	354	568	5325	1833	410	153	10871
경상남도	4800	양산시	171714	69505	68481	1024	102209	235	2453	247	6002	125	63	2581	48	1687	2791	15775	6872	703	137	28762
경상남도	4800	하동군	44535	32062	30642	1420	12473	228	439	56	2783	39	29	967	30	435	697	3170	3375	395	232	17767
경상남도	4800	남해군	44010	30719	28684	2035	13291	1669	637	155	2536	89	67	1001	64	464	695	2925	4479	445	315	13143
경상남도	4800	함양군	33465	18998	18345	653	14467	114	296	68	1030	52	42	1161	53	381	445	3976	1416	577	122	8612
경상남도	4800	산청군	30054	16422	15970	452	13632	69	218	61	1435	47	37	1071	46	269	381	3116	1110	296	120	7694
경상남도	4800	거창군	50779	29014	28129	885	21765	103	449	84	2297	70	49	1365	57	446	660	7252	2008	566	177	12546
경상남도	4800	합천군	45265	25930	25171	759	19335	188	1077	106	2729	61	67	980	115	346	516	4128	1953	619	306	11980
제주특별자치도	4900	제주시	296668	154626	152055	2571	142042	921	1763	291	12284	219	143	6660	158	3974	7868	20301	45395	1696	512	49870
제주특별자치도	4900	서귀포시	117236	66819	65391	1428	50417	69	672	75	9434	89	65	2412	69	1088	3146	6440	20325	613	291	20603
