광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
울산광역시	3100	울주군	138616	69927	68320	1607	68689	1172	1723	171	6197	145	68	2621	62	1863	2589	12945	6560	771	179	31254
경기도	4100	수원시장안구	210021	91086	90093	993	118935	107	2241	118	4243	41	47	4677	59	3330	5104	11326	23136	716	92	34856
경기도	4100	수원시권선구	228869	91865	91002	863	137004	141	2344	142	5175	53	34	5481	41	2579	4131	12083	24427	599	73	33699
경기도	4100	수원시팔달구	169205	64838	63994	844	104367	93	1437	93	2719	34	35	3397	52	1862	3149	8429	15433	611	52	26598
경기도	4100	수원시영통구	176153	82281	81684	597	93872	74	1553	96	3348	42	33	3958	129	3180	4586	8340	23148	336	46	32815
경기도	4100	성남시수정구	201315	78046	77062	984	123269	72	1918	233	6073	89	40	3895	64	1849	2979	7334	24523	527	84	27382
경기도	4100	성남시중원구	206957	81070	79996	1074	125887	100	2290	105	7916	67	38	2805	34	1701	2722	7609	25114	598	68	28829
경기도	4100	성남시분당구	321494	147795	146769	1026	173699	183	2791	148	3601	46	43	6973	85	5880	6939	19045	31348	848	78	68761
경기도	4100	의정부시	318676	138425	136888	1537	180251	184	2772	186	6748	59	53	5639	162	4894	5057	13171	40884	920	114	56045
경기도	4100	안양시만안구	205122	93889	92972	917	111233	95	2275	113	5018	51	24	5701	114	2486	4298	9155	27629	676	98	35239
경기도	4100	안양시동안구	263362	129840	128950	890	133522	147	2482	143	4332	48	45	6652	82	5103	6816	14556	37085	818	85	50556
경기도	4100	부천시원미구	333760	140646	139146	1500	193114	136	4389	171	7651	96	58	7519	226	4478	7766	14767	39007	932	123	51827
경기도	4100	부천시소사구	175130	75765	74884	881	99365	108	2497	98	4201	47	31	4708	75	2201	3482	6875	21452	477	81	28551
경기도	4100	부천시오정구	145857	59217	58258	959	86640	52	2447	69	2480	26	25	2253	42	1446	2462	5088	19912	331	69	21556
경기도	4100	광명시	236672	110500	109198	1302	126172	116	3543	126	5785	60	36	5710	53	3570	4894	9510	34932	790	110	39963
경기도	4100	평택시	298658	136441	134048	2393	162217	146	4236	164	10061	110	70	5559	118	3216	4693	15176	35064	984	169	54282
경기도	4100	양주시	134119	58162	57007	1155	75957	56	1308	69	2224	45	23	1785	39	1234	2017	5821	15613	490	64	26219
경기도	4100	동두천시	68655	29940	29200	740	38715	36	495	31	1019	27	21	808	18	548	829	2821	8400	225	48	13874
경기도	4100	안산시상록구	267886	107309	105942	1367	160577	162	3746	208	6086	127	84	4485	83	3105	5047	14226	29622	836	119	38006
경기도	4100	안산시단원구	240172	95008	93863	1145	145164	106	2331	125	5690	86	40	4108	89	2345	3906	9023	29555	649	82	35728
경기도	4100	고양시덕양구	283612	128576	127225	1351	155036	196	3609	154	5356	74	53	5799	90	9241	5336	12426	32495	895	108	51393
경기도	4100	고양시일산동구	190339	86900	86221	679	103439	125	1864	118	2763	39	19	3075	52	4158	3931	9115	23144	416	50	37352
경기도	4100	고양시일산서구	205367	96695	95909	786	108672	142	1801	88	2858	31	27	4400	41	4369	4286	9160	27120	494	46	41046
경기도	4100	과천시	45915	24082	23853	229	21833	43	483	27	780	13	10	1147	27	1910	1233	2695	5157	106	13	10209
경기도	4100	의왕시	102047	47270	46778	492	54777	102	1048	56	1781	20	13	2455	25	2220	2595	5579	12019	454	43	18368
경기도	4100	구리시	145964	67898	67082	816	78066	155	1398	72	2203	20	28	2633	80	2533	2674	6991	18808	1490	66	27931
경기도	4100	남양주시	364272	160258	158020	2238	204014	226	4135	172	6227	103	64	6049	184	4461	6605	17753	44460	1487	146	65948
경기도	4100	오산시	105500	45008	44445	563	60492	46	1269	54	2680	45	22	3791	14	1062	1905	4279	12515	307	43	16413
