광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
인천광역시	2800	남구	327911	181004	178807	2197	146907	378	140	46	855	2090	291	1144	25399	196	276	8173	68090	4401	67328
인천광역시	2800	연수구	175945	107266	106428	838	68679	103	69	16	465	1258	149	584	16909	75	129	3885	39688	2335	40763
인천광역시	2800	남동구	280449	161485	159588	1897	118964	138	94	29	596	2204	270	1036	24856	191	188	7480	64896	3580	54030
인천광역시	2800	부평구	398333	231365	228906	2459	166968	172	131	47	1329	2854	343	1085	38431	264	279	14285	90220	4496	74970
인천광역시	2800	계양구	231137	132860	131637	1223	98277	107	70	24	452	1684	193	696	19499	124	149	8687	56631	2814	40507
인천광역시	2800	서구	200170	108540	107250	1290	91630	84	94	24	530	1401	170	741	17473	132	138	7229	43905	2189	33140
인천광역시	2800	강화군	91690	55951	54631	1320	35739	52	75	19	373	758	116	209	6307	93	165	2372	20941	969	22182
인천광역시	2800	옹진군	11414	7842	7541	301	3572	178	23	12	78	129	22	40	574	35	65	307	2672	112	3294
광주광역시	2900	동구	90504	54800	54176	624	35704	29	28	17	178	355	78	129	5726	192	42	19017	26790	180	1415
광주광역시	2900	서구	216982	134361	133263	1098	82621	118	42	27	567	1017	114	384	17585	260	101	41666	68439	384	2559
광주광역시	2900	남구	158213	96354	95406	948	61859	172	44	30	281	731	107	264	10544	296	87	32745	48008	344	1753
광주광역시	2900	북구	325675	190664	189008	1656	135011	198	106	78	489	1376	197	726	24184	399	148	58023	99300	648	3136
광주광역시	2900	광산구	191435	115166	113901	1265	76269	69	58	24	418	809	138	460	18926	322	144	30844	59435	491	1763
대전광역시	3000	동구	181578	102452	100828	1624	79126	107	113	42	349	956	139	431	10124	170	256	3422	45508	17357	21854
대전광역시	3000	중구	200140	116395	114992	1403	83745	91	88	24	358	1229	193	333	12236	127	176	3444	50201	17312	29180
