광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
경상북도	4700	울진군	46379	30692	29373	1319	15687	61	110	39	809	257	88	151	2609	170	312	762	7700	491	15814
경상남도	4800	창원시	344522	218444	216564	1880	126078	194	139	33	478	1661	240	1370	52521	157	284	2861	67197	1307	88122
경상남도	4800	마산시	319708	193581	191155	2426	126127	210	171	51	720	1290	277	1516	29217	192	425	2072	52064	1267	101683
경상남도	4800	진주시	245394	156424	153903	2521	88970	395	146	62	1002	1523	278	970	24565	274	630	1519	36961	1259	84319
경상남도	4800	진해시	109240	71225	70029	1196	38015	68	61	22	169	633	137	446	9645	106	194	1272	23065	867	33344
경상남도	4800	통영시	99574	57199	55927	1272	42375	39	54	22	104	567	84	200	5945	107	237	876	16648	294	30750
경상남도	4800	고성군	46669	29047	28174	873	17622	37	52	22	107	258	54	142	3262	119	209	683	8074	169	14986
경상남도	4800	사천시	86063	52660	51393	1267	33403	67	43	26	313	435	101	445	7572	122	286	631	13759	367	27226
경상남도	4800	김해시	281571	166131	164088	2043	115440	102	105	36	527	1433	244	995	22329	156	247	2287	75484	893	59250
경상남도	4800	밀양시	90690	56563	55074	1489	34127	74	60	35	362	405	107	212	5749	139	309	650	19978	714	26280
경상남도	4800	거제시	129772	81567	80279	1288	48205	88	60	21	371	837	108	331	21033	110	292	1054	25228	482	30264
경상남도	4800	의령군	26545	17987	17247	740	8558	48	80	18	99	158	56	86	2513	88	247	269	4546	237	8802
경상남도	4800	함안군	48764	29245	28520	725	19519	38	125	16	132	210	48	116	4005	71	163	360	7749	328	15159
경상남도	4800	창녕군	53379	32201	31156	1045	21178	30	50	26	167	198	55	123	3299	109	307	432	10759	343	15258
경상남도	4800	양산시	148641	86318	85196	1122	62323	424	181	196	374	869	144	1727	11577	100	188	1401	29944	543	37528
경상남도	4800	하동군	44450	31977	30714	1263	12473	33	70	29	126	306	82	110	3413	161	350	925	10440	245	14424
경상남도	4800	남해군	43925	33517	32101	1416	10408	24	44	18	100	362	190	95	2625	60	223	454	11257	199	16450
경상남도	4800	함양군	33987	22785	22033	752	11202	39	73	22	154	237	49	101	1901	84	227	424	6203	578	11941
경상남도	4800	산청군	31109	20036	19340	696	11073	18	35	17	135	140	51	74	2327	76	232	324	4616	286	11009
경상남도	4800	거창군	50921	34336	33208	1128	16585	43	50	20	135	274	75	143	4163	148	285	645	8295	291	18641
경상남도	4800	합천군	47527	31280	30105	1175	16247	73	110	42	193	190	69	120	3175	147	329	438	9720	331	15168
제주특별자치도	4900	제주시	197622	118843	117385	1458	78779	94	70	28	436	641	179	760	16391	194	249	4600	54393	1271	38079
제주특별자치도	4900	북제주군	81135	51019	49466	1553	30116	84	83	37	408	290	119	313	6080	305	325	4199	21926	626	14671
제주특별자치도	4900	서귀포시	60718	36549	35692	857	24169	29	42	17	127	259	69	155	4988	144	139	1769	17245	378	10331
제주특별자치도	4900	남제주군	55659	35011	33775	1236	20648	32	81	22	136	155	84	233	5828	230	281	1438	15161	360	9734
