광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
경기도	과천시	합계	합계	49206	40789	8417	127	40662	16528	9055	8736	3354	2814	72	8	14	7	17	9	19	29
경기도	의왕시	합계	합계	127577	103913	23664	351	103562	43869	21218	23602	7575	6902	139	13	54	17	57	18	32	66
경기도	구리시	합계	합계	159142	123469	35673	430	123039	51181	26113	28698	8167	8386	162	14	52	18	85	31	50	82
경기도	오산시	합계	합계	161182	118683	42499	482	118201	52358	21829	27201	7893	8415	117	19	66	36	82	30	35	120
경기도	남양주시	합계	합계	524245	397972	126273	1335	396637	165079	86026	92048	25471	26319	584	67	213	73	210	102	139	306
경기도	시흥시	합계	합계	322806	239227	83579	895	238332	103732	43248	58119	14846	17127	301	56	208	58	235	79	80	243
경기도	화성시	합계	합계	493782	386002	107780	1282	384720	176940	69014	84967	26194	25910	401	58	284	81	267	118	141	345
경기도	군포시	합계	합계	228831	186084	42747	596	185488	82551	34784	41883	12884	12595	239	21	150	34	121	37	54	135
경기도	하남시	합계	합계	176100	138937	37163	492	138445	57298	31793	30999	9680	8135	174	17	68	19	109	24	43	86
경기도	여주시	합계	합계	93145	65695	27450	326	65369	20474	21581	14545	3936	4387	90	13	72	25	66	40	50	90
경기도	파주시	합계	합계	340754	256847	83907	1002	255845	107148	55347	54921	16819	20208	399	52	198	82	224	92	96	259
경기도	이천시	합계	합계	167583	121841	45742	640	121201	44109	33301	26695	7913	8489	145	29	93	35	89	63	69	171
경기도	용인시처인구	합계	합계	184406	134872	49534	649	134223	50423	33153	32027	8707	9227	152	32	80	44	98	57	59	164
경기도	용인시수지구	합계	합계	268809	225513	43296	510	225003	95325	50229	47125	18555	13042	375	16	69	20	94	19	45	89
