광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민중심당	민주노동당	민주당	시민당	열린우리당	한나라당	한미준	희망사회당
서울특별시	1100	동작구	328129	166421	164200	2221	161708	863	17326	20035	267	36448	88715	185	361
서울특별시	1100	관악구	431791	210835	208183	2652	220956	1159	29077	30925	389	46260	99637	203	533
서울특별시	1100	서초구	316852	164432	162438	1994	152420	576	11508	11764	152	24991	113044	123	280
서울특별시	1100	강남구	433889	216748	214780	1968	217141	654	13904	13196	219	30811	155450	135	411
서울특별시	1100	송파구	467011	237296	234803	2493	229715	901	20200	20690	271	45297	146796	177	471
서울특별시	1100	강동구	356774	175768	173429	2339	181006	959	15477	16440	260	34189	105562	145	397
부산광역시	2600	중구	43062	22766	22193	573	20296	0	2397	536	0	4134	15126	0	0
부산광역시	2600	서구	112683	55036	53733	1303	57647	0	5896	1558	0	9230	37049	0	0
부산광역시	2600	동구	89864	46769	45240	1529	43095	0	5166	1038	0	8410	30626	0	0
부산광역시	2600	영도구	131447	63269	62019	1250	68178	0	7934	1924	0	14710	37451	0	0
부산광역시	2600	부산진구	325963	157491	155105	2386	168472	0	20342	2931	0	28452	103380	0	0
부산광역시	2600	동래구	216997	107494	105996	1498	109503	0	13028	1824	0	17864	73280	0	0
부산광역시	2600	남구	238368	116835	115088	1747	121533	0	15648	1983	0	22646	74811	0	0
부산광역시	2600	북구	248396	117436	115873	1563	130960	0	15583	2189	0	25113	72988	0	0
부산광역시	2600	해운대구	309668	145645	143503	2142	164023	0	18480	2706	0	27934	94383	0	0
부산광역시	2600	기장군	61953	36131	35241	890	25822	0	4575	750	0	6938	22978	0	0
부산광역시	2600	사하구	284656	128358	126541	1817	156298	0	16366	2373	0	27000	80802	0	0
부산광역시	2600	금정구	209276	103939	102094	1845	105337	0	12511	1829	0	18388	69366	0	0
부산광역시	2600	강서구	44796	26884	26106	778	17912	0	3105	675	0	6643	15683	0	0
부산광역시	2600	연제구	172349	84789	83506	1283	87560	0	10210	1565	0	15482	56249	0	0
부산광역시	2600	수영구	143359	67639	66635	1004	75720	0	7820	1183	0	11705	45927	0	0
부산광역시	2600	사상구	212267	98086	96737	1349	114181	0	11536	2095	0	22086	61020	0	0
대구광역시	2700	중구	66126	35272	34443	829	30854	335	2551	0	0	4223	27334	0	0
대구광역시	2700	동구	267710	129209	127442	1767	138501	985	10508	0	0	18534	97415	0	0
대구광역시	2700	서구	194812	92265	90897	1368	102547	1008	8019	0	0	10090	71780	0	0
대구광역시	2700	남구	145954	70018	69000	1018	75936	531	5496	0	0	8517	54456	0	0
대구광역시	2700	북구	341531	159684	157841	1843	181847	1314	14329	0	0	20562	121636	0	0
대구광역시	2700	수성구	320246	157444	155769	1675	162802	1069	11884	0	0	18465	124351	0	0
대구광역시	2700	달서구	432607	206958	204900	2058	225649	1521	19744	0	0	24826	158809	0	0
대구광역시	2700	달성군	116057	64167	62576	1591	51890	1017	8224	0	0	8326	45009	0	0
인천광역시	2800	중구	72876	34797	34232	565	38079	0	3631	2607	0	6974	20757	0	263
인천광역시	2800	동구	61515	30819	30244	575	30696	0	4947	1933	0	5687	17334	0	343
인천광역시	2800	남구	327614	140572	138590	1982	187042	0	16991	8159	0	27690	84647	0	1103
인천광역시	2800	연수구	191076	88040	87180	860	103036	0	11210	3596	0	17247	54617	0	510
인천광역시	2800	남동구	284121	123414	122009	1405	160707	0	17359	9692	0	24788	69255	0	915
인천광역시	2800	부평구	425004	181468	179314	2154	243536	0	28865	14924	0	35468	98520	0	1537
인천광역시	2800	계양구	239585	100433	99398	1035	139152	0	13535	7344	0	23410	54356	0	753
인천광역시	2800	서구	271645	114475	113111	1364	157170	0	15782	8777	0	24578	63108	0	866
인천광역시	2800	강화군	53699	35401	33837	1564	18298	0	3226	1419	0	6750	21717	0	725
인천광역시	2800	옹진군	13268	10165	9798	367	3103	0	601	413	0	2439	6104	0	241
광주광역시	2900	동구	90767	43239	42492	747	47528	0	5476	21370	0	12460	2724	0	462
광주광역시	2900	서구	221034	102565	101398	1167	118469	0	18008	48784	0	28996	4840	0	770
광주광역시	2900	남구	161406	78304	77257	1047	83102	0	9851	41447	0	21589	3727	0	643
광주광역시	2900	북구	333413	147710	145796	1914	185703	0	22733	71810	0	43257	6679	0	1317
광주광역시	2900	광산구	208000	97518	95966	1552	110482	0	20501	45120	0	25131	3937	0	1277
대전광역시	3000	동구	183206	87966	86348	1618	95240	18325	6875	0	0	22994	38154	0	0
대전광역시	3000	중구	203076	100890	99351	1539	102186	20203	6739	0	0	25798	46611	0	0
대전광역시	3000	서구	367265	182487	180402	2085	184778	31042	14981	0	0	47041	87338	0	0
대전광역시	3000	유성구	164867	84059	83160	899	80808	12055	9004	0	0	23635	38466	0	0
대전광역시	3000	대덕구	159054	77151	76064	1087	81903	14401	8475	0	0	19968	33220	0	0
울산광역시	3100	중구	175337	88547	87450	1097	86790	0	20916	0	0	11516	55018	0	0
울산광역시	3100	남구	250864	123848	122573	1275	127016	0	26115	0	0	17353	79105	0	0
울산광역시	3100	동구	136957	75740	74547	1193	61217	0	26853	0	0	12311	35383	0	0
울산광역시	3100	북구	99489	55383	54662	721	44106	0	23194	0	0	5444	26024	0	0
울산광역시	3100	울주군	127642	73690	71860	1830	53952	0	13094	0	0	13658	45108	0	0
