광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
부산광역시	2600	사하구	284062	135474	132721	2753	148588	8158	0	10279	41621	662	0	4049	0	0	67952
부산광역시	2600	금정구	203914	103571	101336	2235	100343	9770	0	8601	24460	517	0	3694	0	0	54294
부산광역시	2600	강서구	50837	29929	28652	1277	20908	2242	0	2356	8646	295	0	1028	0	0	14085
부산광역시	2600	연제구	169354	88035	85975	2060	81319	6446	0	8292	21527	488	0	3396	0	0	45826
부산광역시	2600	수영구	146237	71130	69773	1357	75107	5150	0	5139	17574	387	0	2727	0	0	38796
부산광역시	2600	사상구	204256	99521	97415	2106	104735	5418	0	7488	34895	519	0	3075	0	0	46020
대구광역시	2700	중구	65102	31333	30629	704	33769	1340	1457	1169	3408	68	1145	792	3654	0	17596
대구광역시	2700	동구	266834	123904	121482	2422	142930	6144	1684	5280	15171	256	4271	2982	17855	0	67839
대구광역시	2700	서구	183845	83923	81417	2506	99922	3553	1064	3543	8518	259	3002	2624	9440	0	49414
대구광역시	2700	남구	142035	61387	60078	1309	80648	2880	2056	2477	6124	94	2391	1580	6667	0	35809
대구광역시	2700	북구	339490	150689	147990	2699	188801	8628	3021	7877	16708	214	4842	3982	23103	0	79615
대구광역시	2700	수성구	342990	166962	163994	2968	176028	9798	3079	6370	17099	291	5708	5679	27787	0	88183
대구광역시	2700	달서구	454805	200177	197023	3154	254628	12039	2688	9607	24977	321	6986	5261	28857	0	106287
대구광역시	2700	달성군	133734	67667	65513	2154	66067	4192	808	5013	7266	250	2351	1497	6856	0	37280
인천광역시	2800	중구	73354	37874	36949	925	35480	1450	0	1468	14275	118	1001	1612	0	294	16731
인천광역시	2800	동구	62253	35103	34227	876	27150	1193	0	2810	12812	109	922	1732	0	304	14345
인천광역시	2800	남구	337880	165610	162765	2845	172270	6545	0	8047	67172	417	4408	4731	0	1094	70351
인천광역시	2800	연수구	206407	110301	108815	1486	96106	4620	0	5919	42282	121	3653	3872	0	673	47675
인천광역시	2800	남동구	355642	177498	175001	2497	178144	7531	0	13132	72876	243	5872	5168	0	972	69207
인천광역시	2800	부평구	435655	218208	215364	2844	217447	10234	0	13411	94812	359	6060	7356	0	1241	81891
인천광역시	2800	계양구	259089	131162	129395	1767	127927	5743	0	6707	61381	269	3012	3660	0	1004	47619
인천광역시	2800	서구	294322	143315	141273	2042	151007	6152	0	6561	62721	262	3466	4838	0	1287	55986
인천광역시	2800	강화군	56586	37059	34246	2813	19527	1068	0	1239	9686	192	846	1534	0	297	19384
인천광역시	2800	옹진군	15665	11339	10774	565	4326	201	0	291	3018	40	218	260	0	119	6627
광주광역시	2900	동구	84206	44017	42914	1103	40189	4766	0	5030	24900	113	0	2070	0	724	5311
